workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
4,0,1,2,0,0,1,0,0,0,43.2,242.173,0,0,0.012,0,0
8,2,1,1,1,1,2,0,0,123.246,87.87,611.4,666.69,0.132,0.021,0,0
7,0,1,1,2,1,0,1,1,0,129.765,374.208,716.721,0.125,0,0.002,48.09
7,1,0,1,1,1,1,1,1,108.299,0,363.64,686.221,0.127,0.019,0.002,49.075
10,1,2,1,1,1,2,1,1,157.765,128.405,651,697.044,0.18,0.027,0.002,69.573
7,0,1,0,1,2,1,1,1,0,124.971,0,625.691,0.12,0.018,0.002,47.131
5,1,0,1,0,1,1,0,1,78.669,0,314.907,0,0.09,0.014,0,32.493
4,0,1,1,1,0,0,0,1,0,88.818,232.883,346.082,0,0,0,31.273
5,1,1,0,1,1,0,0,1,76.302,71.31,0,366.281,0.099,0,0,34.203
9,2,1,1,1,2,1,0,1,132.751,120.012,655.339,712.006,0.161,0.024,0,22.578
8,1,2,0,1,1,0,2,1,127.211,104.251,0,665.295,0.134,0,0.002,68.529
6,1,0,1,0,2,1,0,1,92.656,0,327.945,0,0.106,0.017,0,20.289
8,1,1,1,0,1,1,1,2,88.321,78.691,323.11,0,0.112,0.017,0.002,61.62
6,1,1,1,1,0,0,1,1,92.434,103.856,336.022,630.579,0,0,0.002,53.102
6,0,1,0,1,1,2,0,1,0,121.069,0,368.81,0.105,0.016,0,20.052
7,0,1,2,1,1,1,0,1,0,186.942,381.753,708.521,0.133,0.02,0,51.118
11,2,2,1,2,1,1,1,1,158.096,166.862,687.476,783.515,0.229,0.033,0.003,30.283
4,0,0,1,0,0,1,2,0,0,0,200.712,0,0,0.011,0.001,0
9,1,2,1,2,1,1,0,1,133.848,132.419,637.631,745.077,0.172,0.024,0,22.867
5,0,0,2,1,0,1,0,1,0,0,327.181,599.515,0,0.016,0,34.678
9,2,0,1,0,1,2,2,1,129.661,0,640.512,0,0.164,0.025,0.003,23.003
5,0,1,1,0,1,0,1,1,0,104.793,225.725,0,0.093,0,0.001,32.077
11,1,1,1,2,2,1,2,1,170.795,172.394,713.202,802.666,0.205,0.029,0.003,30.618
5,0,1,0,2,0,0,1,1,0,126.973,0,409.694,0,0,0.001,49.972
8,1,1,1,0,1,1,1,2,88.814,79.945,332.78,0,0.118,0.018,0.001,49.028
7,1,0,1,1,1,0,1,2,82.674,0,335.927,374.822,0.126,0,0.004,42.299
8,1,1,1,0,2,1,2,0,120.653,86.747,338.405,0,0.14,0.02,0.002,0
7,0,2,1,1,1,1,0,1,0,102.599,349.467,666.411,0.13,0.019,0,49.405
8,2,1,1,1,0,1,1,1,128.032,107.835,623.527,691.545,0,0.021,0.003,67.795
4,0,0,0,1,1,1,1,0,0,0,0,324.172,0.073,0.011,0.002,0
5,1,1,0,0,1,1,1,0,68.283,50.35,0,0,0.087,0.014,0.002,0
7,2,1,1,0,0,2,1,0,107.176,77.467,348.74,0,0,0.018,0.002,0
7,1,1,0,1,2,1,0,1,102.867,124.302,0,616.982,0.131,0.02,0,54.229
7,1,0,1,1,1,2,0,1,111.154,0,356.693,677.509,0.136,0.02,0,50.601
5,0,0,2,2,0,0,0,1,0,0,332.216,613.506,0,0,0,52.339
6,0,1,1,1,1,1,0,1,0,132.88,349.892,391.299,0.112,0.017,0,21.015
6,1,1,1,0,1,1,0,1,89.988,92.185,328.183,0,0.111,0.017,0,20.569
8,2,1,1,0,1,1,1,1,120.878,129.411,343.604,0,0.153,0.023,0.002,72.356
7,2,1,1,0,0,1,2,0,112.746,77.939,344.925,0,0,0.017,0.002,0
6,0,1,1,0,1,1,1,1,0,122.02,320.637,0,0.101,0.016,0.002,19.905
9,2,1,1,1,1,1,1,1,151.677,125.954,638.801,699.628,0.152,0.023,0.003,23.026
8,1,2,1,1,0,2,1,0,125.075,91.425,623.353,686.4,0,0.019,0.002,0
9,1,1,1,1,1,1,1,2,108.842,110.379,363.517,693.91,0.128,0.02,0.002,62.615
6,0,1,1,1,1,1,0,1,0,157.875,344.611,374.335,0.117,0.018,0,19.812
6,0,1,1,1,0,1,1,1,0,87.243,329.772,619.374,0,0.017,0.002,19.786
7,1,1,1,1,0,1,0,2,94.986,93.302,346.544,660.828,0,0.017,0,41.744
6,1,2,1,1,0,1,0,0,90.654,67.807,347.8,671.72,0,0.015,0,0
5,1,1,0,1,0,1,1,0,68.424,54.792,0,605.508,0,0.014,0.002,0
8,1,0,1,2,2,1,0,1,127.765,0,617.008,714.272,0.147,0.02,0,68.683
10,1,1,2,1,2,1,1,1,159.249,155.833,654.517,708.832,0.183,0.026,0.002,69.058
8,0,1,1,0,2,2,1,1,0,105.282,333.666,0,0.14,0.021,0.002,68.094
7,2,1,1,1,1,0,0,1,107.878,102.089,366.196,697.628,0.127,0,0,48.976
4,1,1,0,0,0,2,0,0,55.075,35.989,0,0,0,0.013,0,0
6,1,1,0,0,1,0,1,2,50.865,63.849,0,0,0.078,0,0.001,26.094
6,1,0,2,1,0,0,1,1,94.123,0,371.679,704.298,0,0,0.002,52.847
5,1,0,1,1,1,0,1,0,69.458,0,320.758,619.673,0.084,0,0.002,0
