workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
50,5,2,5,8,11,13,1,5,66.038,47.586,325.031,640.738,0.136,0.022,0.001,27.053
45,1,3,13,13,4,1,3,7,62.235,51.217,377.223,737.659,0.094,0.015,0.001,24.229
58,1,10,11,7,5,11,2,11,75.438,58.459,367.328,713.987,0.13,0.021,0.001,31.567
45,4,4,7,3,6,10,1,10,50.538,39.998,302.105,342.814,0.106,0.017,0.002,21.267
67,14,6,4,2,11,11,9,10,85.363,56.431,326.168,640.737,0.121,0.022,0.004,45.979
61,13,8,10,2,3,10,13,2,87.647,62.25,356.139,690.259,0.128,0.02,0.003,16.66
55,3,11,6,1,4,12,7,11,55.443,44.25,314.636,606.205,0.113,0.018,0.002,37.724
65,14,5,5,8,7,8,7,11,88.741,61.527,355.221,700.046,0.123,0.02,0.002,37.336
67,11,13,10,8,2,13,7,3,99.301,77.166,407.091,795.606,0.16,0.025,0.004,33.114
68,4,11,7,6,10,6,11,13,75.003,56.601,347.376,679.78,0.122,0.021,0.002,34.848
59,3,5,12,8,9,12,2,8,77.226,60.9,381.189,743.996,0.141,0.023,0.002,40.485
56,4,7,10,5,2,12,10,6,69.499,51.651,342.583,664.108,0.121,0.019,0.002,33.06
48,8,5,5,7,0,7,2,14,59.786,43.949,313.725,609.902,0,0.014,0.002,25.568
60,11,14,12,12,2,8,1,0,103.488,81.094,629.521,782.332,0.162,0.026,0.004,0
50,10,6,2,6,4,12,10,0,80.69,51.913,324.18,640.782,0.137,0.021,0.003,0
61,8,1,10,13,14,7,1,7,93.342,67.53,411.159,806.477,0.153,0.025,0.003,27.089
82,11,11,14,10,14,7,8,7,115.246,88.184,646.934,769.788,0.179,0.03,0.003,32.73
56,4,5,7,0,12,13,9,6,54.056,40.273,302.66,0,0.131,0.022,0.003,18.517
59,14,6,6,6,11,0,4,12,80.465,57.098,346.954,680.78,0.122,0,0.001,51.835
39,6,12,1,3,3,13,1,0,61.019,44.126,310.761,601.468,0.117,0.018,0.002,0
53,12,12,0,4,4,2,6,13,65.575,48.972,0,372.353,0.088,0.014,0.002,36.45
60,12,2,13,10,4,1,9,9,78.354,61.236,403.497,786.309,0.111,0.017,0.002,37.61
40,6,0,4,10,7,3,7,3,51.075,0,307.204,434.084,0.095,0.014,0.002,13.754
