workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
61,1,6,3,11,11,14,3,12,0.016291659,0.116622694,0.008903822,0.016498836,77.73935699,584.5984497,0.368336529,0.139370173
57,1,6,13,12,4,9,4,8,0.012758214,0.097588129,0.032549683,0.015403101,29.7189846,409.0204468,0.452562541,0.098769404
79,13,13,5,14,9,5,11,9,0.123436011,0.162929997,0.008157378,0.017659176,56.84772873,187.384491,0.970110297,0.05534301
33,0,0,11,1,1,5,14,1,0,0,0.047896236,0.002813628,9.415460587,305.8737183,532.5350342,0.187162012
59,5,13,5,13,6,6,1,10,0.061597977,0.196829572,0.013025736,0.017134411,44.49204636,267.8839111,0.096593738,0.079921506
41,2,1,14,6,0,7,0,11,0.040465981,0.02383847,0.043263957,0.009600234,0,512.3060913,0,0.141857415
64,13,1,6,2,12,14,12,4,0.17903319,0.019424358,0.018483827,0.003150669,86.39472198,581.2514648,1.874523163,0.071313165
51,2,11,5,4,5,1,11,12,0.042464774,0.277688652,0.020889536,0.010497719,64.35272217,79.01839447,1.468948722,0.144699261
77,8,5,8,14,14,9,14,5,0.077545784,0.070485719,0.019117076,0.017009661,83.21539307,318.3145752,1.547008991,0.059115142
45,3,4,2,13,1,1,10,11,0.075329706,0.112541653,0.006548716,0.027793316,13.65774441,85.65777588,1.894032478,0.195816323
70,11,8,6,4,8,12,7,14,0.121729396,0.130171508,0.017465275,0.005931318,61.34402466,547.5968628,0.448652595,0.09897016
67,12,3,8,12,9,1,8,14,0.141111359,0.048171356,0.020461893,0.015605199,69.32327271,48.31046677,0.619282305,0.093430303
60,7,5,11,4,12,5,14,2,0.089662857,0.090477876,0.031519685,0.005906832,96.93293762,236.6656952,4.637795925,0.094407767
59,3,14,11,9,6,7,4,5,0.036460899,0.204760388,0.027651038,0.011598222,43.00394821,305.2749329,0.7049613,0.106621757
64,14,5,9,10,3,5,9,9,0.160284087,0.077729732,0.022803666,0.012927249,24.71731567,254.1940002,0.996062398,0.096478
42,1,2,3,9,8,9,6,4,0.027958917,0.053870648,0.011890696,0.021067521,75.397995,498.9053345,2.108674288,0.170204252
45,8,6,1,3,9,6,9,3,0.146782622,0.159315839,0.004559367,0.008734939,93.89186859,343.1288147,1.790278912,0.078192785
54,13,5,7,0,1,14,12,2,0.18397215,0.102173068,0.021782607,0,8.012983322,742.6146851,3.244586468,0.074241854
57,8,7,0,7,14,12,0,9,0.108450085,0.136292204,0,0.010948493,99.61019135,483.9631958,0,0.089715265
50,5,2,5,8,11,13,1,5,0.075722329,0.042028796,0.015383146,0.012485595,80.72583771,576.7525635,0.128701404,0.074460424
45,1,3,13,13,4,1,3,7,0.016068051,0.058574207,0.034462288,0.017623365,42.28614426,64.74488068,0.555442154,0.108791396
58,1,10,11,7,5,11,2,11,0.013255787,0.170965344,0.029945996,0.009804145,38.19047165,511.5424194,0.216983259,0.120699972
45,4,4,7,3,6,10,1,10,0.079116262,0.100004666,0.023170743,0.008751092,56.39608002,571.6765747,0.147930935,0.121623322
67,14,6,4,2,11,11,9,10,0.164059922,0.106325001,0.012263628,0.003121408,90.3241806,494.4584656,0.661839962,0.080700256
61,13,8,10,2,3,10,13,2,0.148274288,0.128514126,0.028078917,0.002897457,23.2657032,488.2961121,42.71928406,0.075277686
55,3,11,6,1,4,12,7,11,0.0541109,0.248582751,0.019069614,0.001649604,35.09974289,658.4992065,0.712274373,0.107152469
65,14,5,5,8,7,8,7,11,0.157715097,0.081265546,0.014075726,0.011427808,56.71333694,383.1880798,0.6241045,0.107251525
67,11,13,10,8,2,13,7,3,0.110744074,0.168468073,0.024564516,0.010055215,12.46716976,511.1170654,0.890858233,0.046955049
68,4,11,7,6,10,6,11,13,0.053381804,0.194340438,0.020151019,0.00882637,81.50941467,282.7501221,0.875905693,0.098022275
59,3,5,12,8,9,12,2,8,0.038730506,0.082100786,0.031480446,0.010752748,63.37843704,507.1507874,0.16885218,0.09178488
56,4,7,10,5,2,12,10,6,0.057574093,0.135524198,0.029189918,0.007528889,16.51183128,612.4338989,1.125832915,0.089168534
48,8,5,5,7,0,7,2,14,0.133751377,0.113767304,0.015937507,0.011477229,0,470.1122437,0.232703969,0.143562213
60,11,14,12,12,2,8,1,0,0.106211998,0.172639117,0.019062355,0.015338713,12.32682228,304.3889771,28.53741455,0
50,10,6,2,6,4,12,10,0,0.123842672,0.115575694,0.006169398,0.009363547,29.08284187,559.552124,277.3778687,0
61,8,1,10,13,14,7,1,7,0.085405871,0.014808088,0.024321487,0.016119523,91.40771484,276.4060059,0.116431236,0.086895324
82,11,11,14,10,14,7,8,7,0.095237382,0.124739684,0.021640597,0.012990568,77.83429718,227.6020203,0.516239882,0.053824589
56,4,5,7,0,12,13,9,6,0.074011095,0.124152794,0.023128238,0,90.9569397,582.8453369,1.465015054,0.112180695
59,14,6,6,6,11,0,4,12,0.173942909,0.105082504,0.01729336,0.008813424,89.64319611,0,0.297106922,0.088461086
39,6,12,1,3,3,13,1,0,0.098328575,0.271944851,0.003217907,0.004987838,25.49952507,708.3955688,37.20143127,0
53,12,12,0,4,4,2,6,13,0.182905614,0.245010793,0,0.010742447,45.02835083,138.6908569,0.702480435,0.12785089
60,12,2,13,10,4,1,9,9,0.153301418,0.0326607,0.032218266,0.012717629,35.94452667,56.24620819,0.702121079,0.091133326
40,6,0,4,10,7,3,7,3,0.11744222,0,0.013020725,0.023036938,73.61113739,200.2704773,1.880164742,0.098834671
