workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
15,1,3,1,0,8,1,0,1,40.053,32.434,206.462,0,0.147,0.016,0,4.868
28,2,5,1,3,3,5,5,4,68.353,60.681,323.146,630.265,0.178,0.026,0.003,22.977
29,5,8,1,4,5,3,2,1,103.892,93.181,625.006,725.258,0.262,0.034,0.004,20.694
43,1,8,3,8,7,7,4,5,81.771,105.704,662.664,825.289,0.378,0.048,0.004,27.732
34,1,8,3,1,7,9,0,5,76.401,77.209,346.455,671.638,0.299,0.04,0,41.616
47,3,9,6,8,7,0,5,9,96.34,120.54,731.169,891.165,0.346,0,0.003,30.939
37,8,1,6,1,8,1,5,7,102.972,80.276,393.544,747.203,0.269,0.028,0.005,41.625
40,2,6,8,7,3,1,7,6,81.241,103.068,686.599,826.596,0.244,0.035,0.004,21.809
46,8,9,9,4,4,0,7,5,126.541,135.234,767.917,846.501,0.308,0,0.009,47.76
35,5,0,4,7,5,6,3,5,86.934,0,619.927,772.622,0.296,0.041,0.006,31.319
28,5,1,7,5,1,2,4,3,79.7,78.845,553.854,741.801,0.18,0.028,0.005,26.185
49,9,7,7,3,9,7,3,4,141.136,130.629,724.527,783.299,0.486,0.059,0.013,55.284
34,9,3,4,7,2,6,2,1,122.649,109.733,705.298,849.486,0.317,0.052,0.007,24.136
24,1,8,9,1,1,3,1,0,83.217,82.983,430.812,801.691,0.167,0.027,0.003,0
40,8,7,5,3,4,9,1,3,127.319,113.443,689.304,750.183,0.362,0.053,0.004,19.219
37,3,7,5,9,4,0,4,5,90.77,108.341,709.456,893.112,0.262,0,0.006,30.622
47,5,0,6,7,7,6,8,8,88.901,0,667.609,811.374,0.385,0.046,0.007,27.289
55,6,8,4,7,6,9,8,7,122.462,131.895,732.821,874.854,0.46,0.061,0.009,42.726
33,0,5,1,6,8,3,6,4,0,67.589,348.449,684.214,0.247,0.028,0.003,24.43
24,3,1,6,1,4,4,2,3,71.414,57.597,348.581,648.67,0.186,0.025,0.002,22.639
27,2,4,4,7,2,2,2,4,66.68,80.891,425.099,824.709,0.187,0.028,0.006,21.143
23,7,3,1,3,3,2,1,3,86.342,68.133,341.019,665.532,0.16,0.023,0.005,17.861
47,9,6,3,6,9,7,2,5,130.487,128.22,708.832,828.515,0.474,0.055,0.006,31.529
45,6,8,2,6,8,0,9,6,105.828,106.395,668.393,786.237,0.309,0,0.006,28.936
39,8,2,7,2,8,7,2,3,112.84,102.888,652.046,697.756,0.398,0.047,0.005,16.611
40,5,6,5,2,5,6,3,8,101.424,92.241,635.72,684.911,0.29,0.04,0.006,47.424
31,3,5,5,7,1,2,3,5,80.088,91.537,641.784,781.234,0.205,0.032,0.006,29.952
40,1,4,2,7,7,9,2,8,69.206,81.03,399.975,784.543,0.326,0.045,0.005,29.265
38,1,4,9,8,3,6,2,5,72.624,104.757,718.194,880.599,0.287,0.045,0.004,19.628
52,9,8,4,9,6,3,7,6,134.88,143.516,790.932,974.98,0.431,0.056,0.013,56.456
21,0,0,7,1,1,3,9,0,0,0,320.528,352.666,0.176,0.028,0.002,0
39,3,9,3,9,4,4,0,7,102.861,117.892,701.253,880.119,0.312,0.045,0,38.409
26,1,1,9,4,0,4,0,7,53.88,69.465,435.531,807.567,0,0.03,0,20.619
43,8,1,4,2,8,9,8,3,110.781,78.836,374.972,720.237,0.345,0.044,0.005,35.704
33,1,7,3,3,3,1,7,8,63.94,70.448,360.098,703.019,0.15,0.021,0.003,35.156
49,5,3,5,9,9,6,9,3,100.838,111.821,736.018,917.156,0.466,0.054,0.006,25.264
30,2,3,1,8,1,1,7,7,56.657,68.618,370.508,727.166,0.143,0.022,0.005,28.366
44,7,5,4,2,5,8,4,9,112.291,92.425,637.693,684.093,0.306,0.044,0.008,45.839
43,8,2,5,8,6,0,5,9,107.771,110.11,724.384,884.948,0.328,0,0.013,31.988
39,5,3,7,3,8,3,9,1,114.362,105.682,670.598,733.845,0.405,0.05,0.006,23.563
38,2,9,7,6,4,4,2,4,89.909,112.955,716.022,835.308,0.299,0.042,0.004,25.593
41,9,3,6,6,2,3,6,6,115.578,109.563,706.928,829.608,0.256,0.04,0.004,40.714
26,0,1,2,6,5,6,4,2,0,52.384,329.592,644.175,0.202,0.029,0.004,10.332
30,5,4,1,2,6,4,6,2,91.623,62.704,328.873,647.347,0.236,0.029,0.004,21.579
35,8,3,4,0,1,9,8,2,103.135,76.054,356.847,0,0.232,0.039,0.004,19.113
38,5,5,0,5,9,8,0,6,96.901,85.882,0,713.589,0.373,0.045,0,40.241
33,3,1,3,5,7,9,1,4,79.415,70.533,374.755,727.235,0.32,0.043,0.002,27.637
30,1,2,8,9,3,1,2,4,57.071,86.755,654.731,837.146,0.241,0.034,0.003,15.937
36,0,6,7,5,3,7,1,7,0,89.01,626.397,728.366,0.25,0.039,0.003,46.48
31,3,3,5,2,4,6,1,7,77.382,71.448,374.181,714.233,0.231,0.033,0.003,41.781
43,9,4,3,1,7,7,6,6,113.181,87.821,361.482,698.495,0.333,0.042,0.004,31.144
37,8,5,6,1,2,6,8,1,133.36,105.847,655.645,688.224,0.328,0.052,0.005,20.712
37,2,7,4,1,3,8,5,7,84.506,78.09,360.723,691.203,0.224,0.037,0.003,33.642
41,9,3,3,5,4,5,5,7,115.535,101.93,644.37,742.978,0.291,0.041,0.003,25.058
43,7,8,7,5,1,8,5,2,123.728,130.311,733.623,835.493,0.344,0.057,0.006,35.005
45,3,7,5,4,6,4,7,9,92.513,93.862,641.744,727.864,0.299,0.039,0.005,32.897
38,2,3,8,5,6,8,1,5,83.695,94.751,654.339,755.049,0.345,0.049,0.005,21.488
38,3,5,6,3,2,8,7,4,90.294,87.779,533.793,689.153,0.246,0.04,0.005,15.818
33,5,3,4,5,0,5,2,9,89.467,84.285,408.514,787.862,0,0.033,0.002,38.33
39,7,9,8,8,1,5,1,0,124.751,139.208,814.41,976.206,0.365,0.058,0.009,0
34,7,4,2,4,2,8,7,0,103.914,90.931,626.613,712.765,0.347,0.054,0.005,0
39,5,1,6,8,9,5,0,5,94.128,101.368,693.468,854.669,0.429,0.05,0,25.431
52,7,7,9,7,9,4,5,4,128.818,145.684,806.978,948.929,0.534,0.062,0.026,29.176
36,2,3,5,0,8,8,6,4,69.053,61.681,344.804,0,0.278,0.037,0.005,14.614
39,9,4,4,4,7,0,3,8,113.801,99.608,649.782,728.303,0.293,0,0.004,37.545
25,4,8,0,2,2,9,0,0,86.085,69.7,0,648.563,0.208,0.034,0,0
34,8,8,0,2,3,1,4,8,101.942,83.086,0,678.613,0.166,0.023,0.003,60.933
39,8,1,8,7,2,1,6,6,103.894,107.382,727.49,869.7,0.243,0.036,0.014,34.936
26,4,0,3,6,4,2,5,2,70.76,0,376.494,734.228,0.195,0.027,0.005,15.452
