workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
7,1,1,0,1,2,1,0,1,0.009721244,0.008044884,0,0.00162079,15.26557255,47.86463165,0,0.018215358
7,1,0,1,1,1,2,0,1,0.008996487,0,0.002803531,0.001475993,7.302044392,97.19830322,0,0.019572683
5,0,0,2,2,0,0,0,1,0,0,0.006020171,0.003259944,0,0,0,0.018638171
6,0,1,1,1,1,1,0,1,0,0.007525564,0.002858021,0.002555584,8.917914391,56.41279984,0,0.046471953
6,1,1,1,0,1,1,0,1,0.011112575,0.010847617,0.003047076,0,8.966014862,57.18641281,0,0.047379456
8,2,1,1,0,1,1,1,1,0.016545471,0.00772727,0.002910327,0,6.497502327,41.7748909,39.26926804,0.013699818
7,2,1,1,0,0,1,2,0,0.01770783,0.012830423,0.002899181,0,0,57.71560287,80.07826996,0
6,0,1,1,0,1,1,1,1,0,0.008195338,0.003118792,0,9.848700523,62.01264572,50.11598206,0.049790397
9,2,1,1,1,1,1,1,1,0.013185883,0.007939368,0.001565433,0.001429329,6.568218708,42.05337524,32.38044739,0.042850737
8,1,2,1,1,0,2,1,0,0.007995152,0.021875704,0.001604227,0.001456872,0,102.7273636,36.784935,0
9,1,1,1,1,1,1,1,2,0.00918756,0.009059626,0.002750895,0.001441107,7.761005878,49.32588959,0.081515588,0.018113522
6,0,1,1,1,1,1,0,1,0,0.006334095,0.002901818,0.002671397,8.486170769,55.47425842,0,0.048966162
6,0,1,1,1,0,1,1,1,0,0.011462182,0.003032394,0.001614531,0,57.04428101,43.20051956,0.049983423
7,1,1,1,1,0,1,0,2,0.010527867,0.010717851,0.002885632,0.001513251,0,56.4462738,0,0.026991094
6,1,2,1,1,0,1,0,0,0.011030918,0.029495938,0.002875216,0.001488713,0,63.56259537,0,0
5,1,1,0,1,0,1,1,0,0.014614755,0.018250506,0,0.001651503,0,69.79042053,46.53304672,0
8,1,0,1,2,2,1,0,1,0.007826809,0,0.001620722,0.002800051,13.59010696,47.69454193,0,0.014493151
10,1,1,2,1,2,1,1,1,0.006279464,0.006417126,0.003055688,0.00141077,10.90486431,37.97153854,28.74172401,0.014471012
8,0,1,1,0,2,2,1,1,0,0.009498285,0.002997004,0,14.24890232,94.70963287,36.25703049,0.014665552
7,2,1,1,1,1,0,0,1,0.01853939,0.009795327,0.002730774,0.001433427,7.872426987,0,0,0.02036207
4,1,1,0,0,0,2,0,0,0.018156968,0.027786087,0,0,0,150.1369934,0,0
6,1,1,0,0,1,0,1,2,0.019659562,0.015661879,0,0,12.7949028,0,6.584394455,0.048888177
6,1,0,2,1,0,0,1,1,0.010624363,0,0.005380982,0.001419852,0,0,29.52266693,0.018816387
5,1,0,1,1,1,0,1,0,0.014397167,0,0.003117605,0.001613752,11.83021355,0,46.41670609,0
