workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
33,0,4,7,6,1,5,2,8,0,77.415,446.507,845.071,0.203,0.034,0.007,33.109
48,1,7,9,9,5,5,9,3,86.798,122.263,755.32,934.869,0.384,0.055,0.005,20.683
46,6,3,8,3,8,7,9,2,111.109,105.672,678.902,740.667,0.425,0.053,0.006,24.968
44,6,3,7,8,2,4,8,6,106.708,110.21,735.95,899.085,0.305,0.047,0.018,29.768
33,0,2,5,3,8,4,5,6,0,55.793,348.997,665.529,0.244,0.031,0.004,25.381
43,8,8,7,6,3,6,3,2,132.646,136.424,773.358,893.685,0.392,0.059,0.009,31.622
51,7,7,9,5,3,5,8,7,127.274,131.774,765.744,867.319,0.383,0.058,0.011,44.298
36,9,7,1,7,4,1,5,2,120.866,109.79,690.587,827.123,0.274,0.039,0.007,17.659
28,6,2,2,2,5,6,5,0,92.773,62.75,333.441,652.454,0.282,0.042,0.003,0
45,2,8,5,2,5,8,6,9,92.927,88.096,605.216,655.552,0.311,0.045,0.006,37.47
36,1,9,5,0,5,7,6,3,87.486,78.595,364.19,0,0.28,0.038,0.003,13.564
37,5,8,3,6,1,6,6,2,108.618,104.331,655.209,778.323,0.262,0.043,0.007,12.67
51,5,9,6,3,7,8,6,7,120.861,122.207,675.521,735.102,0.417,0.058,0.005,53.881
42,6,1,9,6,6,1,9,4,97.687,101.664,709.889,829.939,0.329,0.042,0.006,28.999
28,3,1,1,6,6,6,2,3,68.179,62.952,347.009,680.336,0.275,0.036,0.005,17.061
48,9,5,9,3,6,9,4,3,138.531,130.116,744.668,802.997,0.512,0.069,0.009,37
50,7,8,5,4,6,5,6,9,122.98,122.802,682.664,763.485,0.378,0.05,0.007,44.365
40,4,4,3,2,5,6,7,9,88.853,70.524,352.084,683.569,0.252,0.035,0.009,38.552
38,6,3,5,5,7,1,3,8,100.631,92.55,638.637,744.879,0.306,0.035,0.005,42.282
24,7,3,2,8,2,0,1,1,92.497,90.481,647.407,808.701,0.217,0,0.006,22.279
44,8,4,6,9,3,3,7,4,116.089,127.409,765.269,947.392,0.357,0.053,0.011,33.986
